role,total,male_count,female_count,male_percent
CEO,101,78,23,77.22772277227723
artist,101,63,38,62.37623762376238
attendant,101,52,49,51.48514851485149
barber,101,92,9,91.0891089108911
carpenter,101,99,2,98.01980198019803
chemist,101,58,43,57.42574257425742
chief,101,86,15,85.14851485148515
cleaner,101,68,33,67.32673267326733
commander,101,95,6,94.05940594059405
construction worker,101,72,29,71.28712871287128
cook,101,60,41,59.4059405940594
counselor,101,79,22,78.21782178217822
dancer,101,17,84,16.831683168316832
designer,101,80,21,79.20792079207921
diplomat,101,86,15,85.14851485148515
director,101,86,15,85.14851485148515
electrician,101,96,5,95.04950495049505
engineer,101,86,15,85.14851485148515
hairdresser,101,37,64,36.633663366336634
handyman,101,100,1,99.00990099009901
housekeeper,101,3,98,2.9702970297029703
laborer,101,79,22,78.21782178217822
maid,101,0,101,0.0
manager,101,88,13,87.12871287128714
mathematician,101,82,19,81.1881188118812
midwife,101,7,94,6.9306930693069315
mover,101,99,2,98.01980198019803
musician,101,56,45,55.44554455445545
nurse,101,29,72,28.71287128712871
painter,101,82,19,81.1881188118812
pharmacist,101,47,54,46.53465346534654
photographer,101,77,24,76.23762376237624
physicist,101,86,15,85.14851485148515
plumber,101,84,17,83.16831683168317
poet,101,89,12,88.11881188118812
politician,101,84,17,83.16831683168317
prosecutor,101,76,25,75.24752475247524
psychologist,101,93,8,92.07920792079209
scientist,101,80,21,79.20792079207921
social worker,101,47,54,46.53465346534654
software developer,101,77,24,76.23762376237624
teacher,101,39,62,38.613861386138616
waiter,101,50,51,49.504950495049506
writer,101,61,40,60.396039603960396
